ticket_number,available
183,TRUE
184,TRUE
185,TRUE
186,TRUE
187,TRUE
188,TRUE
189,TRUE
190,TRUE
191,TRUE
192,TRUE
193,TRUE
194,TRUE
195,TRUE
196,TRUE
197,TRUE
198,TRUE
199,TRUE
200,TRUE
201,TRUE
202,TRUE
203,FALSE
204,TRUE
205,TRUE
206,TRUE
207,TRUE
208,TRUE
209,TRUE
210,TRUE
211,TRUE
212,TRUE
213,TRUE
214,TRUE
215,TRUE
216,FALSE
217,TRUE
218,TRUE
219,TRUE
220,TRUE
221,TRUE
222,TRUE
223,TRUE
224,TRUE
225,TRUE
226,TRUE
227,FALSE
228,TRUE
229,TRUE
230,TRUE
231,TRUE
232,TRUE
233,TRUE
234,TRUE
235,TRUE
236,TRUE
237,TRUE
238,TRUE
239,TRUE
240,TRUE
241,TRUE
242,TRUE
243,TRUE
244,TRUE
245,TRUE
246,TRUE
247,TRUE
248,TRUE
249,TRUE
250,TRUE
251,TRUE
252,FALSE
253,TRUE
254,TRUE
255,TRUE
256,TRUE
257,TRUE
258,TRUE
259,TRUE
260,TRUE
261,TRUE
262,TRUE
263,TRUE
264,TRUE
265,TRUE
266,TRUE
267,TRUE
268,TRUE
269,TRUE
270,TRUE
271,TRUE
272,TRUE
273,TRUE
274,TRUE
275,TRUE
276,TRUE
277,TRUE
278,TRUE
279,TRUE
280,TRUE
281,TRUE
282,TRUE
283,TRUE
284,TRUE
285,TRUE
286,TRUE
287,TRUE
288,TRUE
289,TRUE
290,TRUE
291,TRUE
292,TRUE
293,TRUE
294,TRUE
295,TRUE
296,TRUE
297,TRUE
298,TRUE
299,TRUE
300,TRUE
301,TRUE
302,TRUE
303,TRUE
304,TRUE
305,TRUE
306,TRUE
307,TRUE
308,TRUE
309,TRUE
310,TRUE
311,TRUE
312,TRUE
313,TRUE
314,TRUE
315,TRUE
316,FALSE
317,FALSE
318,TRUE
319,TRUE
320,TRUE
321,TRUE
322,TRUE
323,TRUE
324,TRUE
325,TRUE
326,TRUE
327,TRUE
328,TRUE
329,TRUE
330,TRUE
331,TRUE
332,TRUE
333,FALSE
334,TRUE
335,TRUE
336,TRUE
337,TRUE
338,TRUE
339,TRUE
340,TRUE
341,TRUE
342,TRUE
343,FALSE
344,TRUE
345,TRUE
346,TRUE
347,TRUE
348,TRUE
349,TRUE
350,FALSE
351,TRUE
352,TRUE
353,TRUE
354,TRUE
355,TRUE
356,FALSE
357,TRUE
358,TRUE
359,TRUE
360,TRUE
361,TRUE
362,TRUE
363,TRUE
364,TRUE
365,TRUE
366,TRUE
367,TRUE
368,TRUE
369,TRUE
370,TRUE
371,TRUE
372,TRUE
373,TRUE
374,TRUE
375,TRUE
376,TRUE
377,TRUE
378,TRUE
379,TRUE
380,TRUE
381,TRUE
382,TRUE
383,TRUE
384,TRUE
385,TRUE
386,TRUE
387,TRUE
388,TRUE
389,TRUE
390,TRUE
391,TRUE
392,TRUE
393,TRUE
394,TRUE
395,TRUE
396,TRUE
397,TRUE
398,TRUE
399,TRUE
400,TRUE
401,TRUE
402,TRUE
403,TRUE
404,TRUE
405,TRUE
406,TRUE
407,TRUE
408,TRUE
409,TRUE
410,TRUE
411,TRUE
412,FALSE
413,TRUE
414,TRUE
415,TRUE
416,TRUE
417,TRUE
418,TRUE
419,TRUE
420,FALSE
421,TRUE
422,TRUE
423,TRUE
424,TRUE
425,FALSE
426,TRUE
427,TRUE
428,FALSE
429,TRUE
430,TRUE
431,TRUE
432,TRUE
433,FALSE
434,TRUE
435,TRUE
436,TRUE
437,FALSE
438,TRUE
439,TRUE
440,TRUE
441,TRUE
442,TRUE
443,TRUE
444,FALSE
445,TRUE
446,TRUE
447,TRUE
448,TRUE
449,TRUE
450,TRUE
451,TRUE
452,TRUE
453,TRUE
454,TRUE
455,TRUE
456,TRUE
457,TRUE
458,TRUE
459,TRUE
460,TRUE
461,FALSE
462,TRUE
463,TRUE
464,TRUE
465,TRUE
466,TRUE
467,TRUE
468,TRUE
469,TRUE
470,TRUE
471,TRUE
472,TRUE
473,TRUE
474,TRUE
475,TRUE
476,TRUE
477,TRUE
478,TRUE
479,TRUE
480,TRUE
481,TRUE
482,TRUE
483,TRUE
484,TRUE
485,TRUE
486,TRUE
487,TRUE
488,TRUE
489,TRUE
490,TRUE
491,TRUE
492,TRUE
493,TRUE
494,TRUE
495,TRUE
496,TRUE
497,TRUE
498,TRUE
499,TRUE
500,FALSE
